company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ABB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.0
ABB,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,88.0
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.0
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,88.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPORTS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.0
ADANIPORTS,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.0
ADANIPOWER,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
AMBUJACEM,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82.0
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
APOLLOHOSP,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ASIANPAINT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
ASIANPAINT,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
ATGL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
AXISBANK,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BAJAJ-AUTO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,91.0
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.0
BAJAJHLDNG,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,91.0
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82.0
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,88.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.0
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.0
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82.0
BHEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70.0
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.0
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.0
BOSCHLTD,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,65.0
